ID_POSLA,VRSTA_KUPOPRODAJNEGA_POSLA,DATUM_UVELJAVITVE,DATUM_SKLENITVE_POGODBE,POGODBENA_CENA_ODSKODNINA,VKLJUCENOST_DDV,STOPNJA_DDV,DATUM_IZTEKA_LIZINGA,DATUM_PRENEHANJA_LIZINGA,OPOMBE_O_PRAVNEM_POSLU,POSREDOVANJE_NEPREMICNINSKE_AGENCIJE,DATUM_ZADNJE_SPREMEMBE_POSLA,DATUM_ZADNJE_UVELJAVITVE_POSLA,VRSTA_AKTA,TRZNOST_POSLA,LETO_x,RPE_OBCINE_SIFRA_x,SIFRA_KO,IME_KO,OBCINA,STEVILKA_STAVBE,STEVILKA_DELA_STAVBE,PARCELNA_STEVILKA_ZA_GEOLOKACIJO,INTERNA_OZNAKA_DELA_STAVBE,EVIDENTIRANOST_DELA_STAVBE,NASELJE,ULICA,HISNA_STEVILKA,DODATEK_HS,STEVILKA_STANOVANJA_ALI_POSLOVNEGA_PROSTORA,VRSTA_DELA_STAVBE,LETO_IZGRADNJE_DELA_STAVBE,STAVBA_JE_DOKONCANA,GRADBENA_FAZA,NOVOGRADNJA,PRODANA_POVRSINA,PRODANI_DELEZ_DELA_STAVBE,PRODANA_POVRSINA_DELA_STAVBE,PRODANA_UPORABNA_POVRSINA_DELA_STAVBE,NADSTROPJE_DELA_STAVBE,STEVILO_ZUNANJIH_PARKIRNIH_MEST,ATRIJ,POVRSINA_ATRIJA,OPOMBE_O_NEPREMICNINI,DEJANSKA_RABA_DELA_STAVBE,LEGA_DELA_STAVBE_V_STAVBI,STEVILO_SOB,POVRSINA_DELA_STAVBE,UPORABNA_POVRSINA,PROSTORI_DELA_STAVBE,POGODBENA_CENA_DELA_STAVBE,STOPNJA_DDV_DELA_STAVBE,E_CENTROID,N_CENTROID,LETO_y,RPE_OBCINE_SIFRA_y
955541,1,15.07.2025,31.03.2025,7200,0,,,,,,28.07.2025,15.07.2025,1,5,2025,11,1077,CELJE,CELJE,3429,1,,,1,CELJE,DOLARJEVA ULICA,8,a,,1,1960,1,,,8,1/1,,,,,0,,,1 - stanovanje v enostanovanjski stavbi,,,8,0, nedokončan prostor,,,521243.16,120577.24,2025,11
955541,1,15.07.2025,31.03.2025,7200,0,,,,,,28.07.2025,15.07.2025,1,5,2025,11,1077,CELJE,CELJE,2700,1,,,1,,,,,,13,1970,1,,,36.9,1/1,,,,,0,,,28 - pomožni kmetijski del stavbe,pritličje,,36.9,36.9, kmetijski prostor,,,521243.13,120591.65,2025,11
969786,1,15.11.2025,01.10.2025,85500,0,,,,,,22.11.2025,15.11.2025,1,5,2025,11,1074,SPODNJA HUDINJA,CELJE,1370,46,,,1,CELJE,ULICA BRATOV VOŠNJAKOV,3,,46,2,1978,1,,,31.3,1/1,,,,,0,,,2 - stanovanje,nadstropje,,31.3,29.1, bivalni prostor | klet,,,520280.91,122951.81,2025,11
973556,1,15.12.2025,12.11.2025,143500,0,,,,,,22.12.2025,15.12.2025,1,5,2025,11,1077,CELJE,CELJE,68,36,,,1,CELJE,ČOPOVA ULICA,13,,36,2,1965,1,,,53,1/1,,,,,0,,,2 - stanovanje,nadstropje,,53,51.8, bivalni prostor | klet,,,519508.52,121586.08,2025,11
905046,1,15.05.2025,31.03.2025,144000,0,,,,,,22.05.2025,15.05.2025,1,5,2025,11,1077,CELJE,CELJE,68,39,,,1,CELJE,ČOPOVA ULICA,13,,39,2,1965,1,,,53,1/1,,,,,0,,,2 - stanovanje,nadstropje,,53,51.8, bivalni prostor | klet,,,519508.52,121586.08,2025,11
909106,1,15.06.2025,09.05.2025,276000,0,,,,,,22.06.2025,15.06.2025,1,5,2025,11,1075,OSTROŽNO,CELJE,2338,1,,,1,CELJE,ULICA HEROJA ROJŠKA,68,,,1,1990,1,,,240.3,1/1,,,,,0,,,1 - stanovanje v enostanovanjski stavbi,pritličje,,240.3,167.3," bivalni prostor | garaža | klet | odprta terasa, balkon, loža",,,519976.5,123566.53,2025,11
896976,1,20.02.2025,17.01.2025,220000,0,,,,,,15.04.2025,20.02.2025,1,1,2025,11,1076,MEDLOG,CELJE,1187,52,,,1,CELJE,LJUBLJANSKA CESTA,56,,52,2,1979,1,,,85.9,1/1,,,,,0,,,2 - stanovanje,nadstropje,,85.9,75.5," bivalni prostor | klet | odprta terasa, balkon, loža",,,518884.39,121917.4,2025,11
965799,1,15.10.2025,26.08.2025,6000,0,,,,,,22.10.2025,15.10.2025,1,5,2025,11,1075,OSTROŽNO,CELJE,2675,2,,,1,CELJE,NOVI TRG,19,,2,4,2006,1,,,12.5,1/1,,,,,0,,,16 - garažno parkirno mesto,pritličje,,12.5,12.5, garažni parkirni prostor,,,520108.55,123320.56,2025,11
956430,1,15.07.2025,29.04.2025,177500,0,,,,,,28.07.2025,15.07.2025,1,5,2025,11,1075,OSTROŽNO,CELJE,2744,1,,,1,CELJE,EFENKOVA ULICA,17,,,1,1978,1,,,103.8,1/1,,,,,0,,,1 - stanovanje v enostanovanjski stavbi,pritličje,,103.8,91.8," bivalni prostor | garaža | klet | odprta terasa, balkon, loža | shramba, sušilnica, pralnica",,,519087.19,123588.35,2025,11
906150,1,15.05.2025,10.04.2025,210000,0,,,,,,22.05.2025,15.05.2025,1,5,2025,11,1077,CELJE,CELJE,1429,5,,,1,CELJE,TRG CELJSKIH KNEZOV,3,,5,2,1860,1,,,84.6,1/1,,,,,0,,,2 - stanovanje,klet,,84.6,71.6," bivalni prostor | klet | odprta terasa, balkon, loža",,,520192.43,121068.95,2025,11
