ID_POSLA,DEJANSKA_RABA_DELA_STAVBE,OBCINA,IME_KO,NASELJE,E_CENTROID,N_CENTROID,DATUM_UVELJAVITVE,POGODBENA_CENA_ODSKODNINA,POVRSINA,CENA_M2,STEVILO_SOB,NADSTROPJE_DELA_STAVBE,LETO_IZGRADNJE_DELA_STAVBE
376160,1122100 - Stanovanje v večstanovanjski stavbi ali stanovanjsko poslovni stavbi,VELENJE,VELENJE,VELENJE,508286.59,136102.17,18.04.2018,72500.0,69.5,1043.1654676258993,3.0,1.0,1974
370170,1122100 - Stanovanje v večstanovanjski stavbi ali stanovanjsko poslovni stavbi,VELENJE,VELENJE,VELENJE,509274.1,135697.39,15.03.2018,53900.0,54.8,983.5766423357665,2.0,6.0,1981
370908,1122100 - Stanovanje v večstanovanjski stavbi ali stanovanjsko poslovni stavbi,VELENJE,VELENJE,VELENJE,508700.23,135350.57,15.03.2018,63000.0,67.9,927.8350515463917,2.0,5.0,1973
387481,1122100 - Stanovanje v večstanovanjski stavbi ali stanovanjsko poslovni stavbi,VELENJE,VELENJE,VELENJE,508476.18,135767.14,13.07.2018,52000.0,43.7,1189.9313501144163,2.0,1.0,1974
376124,1122100 - Stanovanje v večstanovanjski stavbi ali stanovanjsko poslovni stavbi,VELENJE,VELENJE,VELENJE,508165.29,136117.7,18.04.2018,155000.0,99.2,1562.5,4.0,2.0,2008
316048,"1110003 - Stanovanje, ki se nahaja v vmesni vrstni hiši",VELENJE,VELENJE,VELENJE,508575.53,135984.33,08.03.2018,173500.0,87.5,1982.857142857143,,,2012
386033,1122100 - Stanovanje v večstanovanjski stavbi ali stanovanjsko poslovni stavbi,VELENJE,VELENJE,VELENJE,510072.34,135275.1,13.07.2018,54000.0,37.2,1451.6129032258063,1.0,4.0,1982
358822,1122100 - Stanovanje v večstanovanjski stavbi ali stanovanjsko poslovni stavbi,VELENJE,VELENJE,VELENJE,509257.04,135752.0,04.01.2018,46592.0,49.1,948.9205702647657,1.0,,1980
366103,1122100 - Stanovanje v večstanovanjski stavbi ali stanovanjsko poslovni stavbi,VELENJE,VELENJE,VELENJE,509314.99,135820.36,14.02.2018,56000.0,54.4,1029.4117647058824,2.0,3.0,1981
366104,1122100 - Stanovanje v večstanovanjski stavbi ali stanovanjsko poslovni stavbi,VELENJE,VELENJE,VELENJE,510050.34,135295.6,14.02.2018,54000.0,58.0,931.0344827586207,2.0,2.0,1982
397998,1122100 - Stanovanje v večstanovanjski stavbi ali stanovanjsko poslovni stavbi,VELENJE,VELENJE,VELENJE,508700.23,135350.57,15.10.2018,115000.0,119.3,963.9564124056999,4.0,6.0,1973
386065,1122100 - Stanovanje v večstanovanjski stavbi ali stanovanjsko poslovni stavbi,VELENJE,VELENJE,VELENJE,509340.46,135712.89,13.07.2018,94000.0,81.3,1156.2115621156213,4.0,7.0,1984
366900,1122100 - Stanovanje v večstanovanjski stavbi ali stanovanjsko poslovni stavbi,VELENJE,VELENJE,VELENJE,509055.14,135669.08,14.02.2018,46000.0,44.9,1024.498886414254,2.0,5.0,1960
366554,1122100 - Stanovanje v večstanovanjski stavbi ali stanovanjsko poslovni stavbi,VELENJE,VELENJE,VELENJE,508700.23,135350.57,14.02.2018,48000.0,69.9,686.695278969957,2.0,4.0,1973
361775,1122100 - Stanovanje v večstanovanjski stavbi ali stanovanjsko poslovni stavbi,VELENJE,VELENJE,VELENJE,508334.43,136202.56,11.01.2018,37500.0,31.7,1182.9652996845425,1.0,4.0,1956
361781,1122100 - Stanovanje v večstanovanjski stavbi ali stanovanjsko poslovni stavbi,VELENJE,VELENJE,VELENJE,510377.56,135289.34,11.01.2018,55000.0,63.3,868.8783570300159,2.0,2.0,1981
358866,1122100 - Stanovanje v večstanovanjski stavbi ali stanovanjsko poslovni stavbi,VELENJE,VELENJE,VELENJE,508716.67,135879.15,05.01.2018,57300.0,55.7,1028.7253141831238,2.0,2.0,1958
399394,1122100 - Stanovanje v večstanovanjski stavbi ali stanovanjsko poslovni stavbi,VELENJE,VELENJE,VELENJE,508400.22,135667.43,15.10.2018,52000.0,49.8,1044.1767068273093,2.0,5.0,1975
361146,1122100 - Stanovanje v večstanovanjski stavbi ali stanovanjsko poslovni stavbi,VELENJE,VELENJE,VELENJE,508343.59,136148.04,11.01.2018,54900.0,58.5,938.4615384615385,2.0,2.0,1957
362202,1122100 - Stanovanje v večstanovanjski stavbi ali stanovanjsko poslovni stavbi,VELENJE,VELENJE,VELENJE,508570.95,135902.03,11.01.2018,31000.0,30.3,1023.1023102310231,1.0,2.0,1956
361954,1122100 - Stanovanje v večstanovanjski stavbi ali stanovanjsko poslovni stavbi,VELENJE,VELENJE,VELENJE,508386.4,136181.53,11.01.2018,57000.0,37.4,1524.0641711229948,1.0,4.0,1956
398399,1122100 - Stanovanje v večstanovanjski stavbi ali stanovanjsko poslovni stavbi,VELENJE,VELENJE,VELENJE,509422.84,135765.64,15.10.2018,54600.0,39.8,1371.8592964824122,1.0,3.0,1980
