ID_POSLA,VRSTA_KUPOPRODAJNEGA_POSLA,DATUM_UVELJAVITVE,DATUM_SKLENITVE_POGODBE,POGODBENA_CENA_ODSKODNINA,VKLJUCENOST_DDV,STOPNJA_DDV,DATUM_IZTEKA_LIZINGA,DATUM_PRENEHANJA_LIZINGA,OPOMBE_O_PRAVNEM_POSLU,POSREDOVANJE_NEPREMICNINSKE_AGENCIJE,DATUM_ZADNJE_SPREMEMBE_POSLA,DATUM_ZADNJE_UVELJAVITVE_POSLA,VRSTA_AKTA,TRZNOST_POSLA,LETO_x,RPE_OBCINE_SIFRA_x,SIFRA_KO,IME_KO,OBCINA,STEVILKA_STAVBE,STEVILKA_DELA_STAVBE,PARCELNA_STEVILKA_ZA_GEOLOKACIJO,INTERNA_OZNAKA_DELA_STAVBE,EVIDENTIRANOST_DELA_STAVBE,NASELJE,ULICA,HISNA_STEVILKA,DODATEK_HS,STEVILKA_STANOVANJA_ALI_POSLOVNEGA_PROSTORA,VRSTA_DELA_STAVBE,LETO_IZGRADNJE_DELA_STAVBE,STAVBA_JE_DOKONCANA,GRADBENA_FAZA,NOVOGRADNJA,PRODANA_POVRSINA,PRODANI_DELEZ_DELA_STAVBE,PRODANA_POVRSINA_DELA_STAVBE,PRODANA_UPORABNA_POVRSINA_DELA_STAVBE,NADSTROPJE_DELA_STAVBE,STEVILO_ZUNANJIH_PARKIRNIH_MEST,ATRIJ,POVRSINA_ATRIJA,OPOMBE_O_NEPREMICNINI,DEJANSKA_RABA_DELA_STAVBE,LEGA_DELA_STAVBE_V_STAVBI,STEVILO_SOB,POVRSINA_DELA_STAVBE,UPORABNA_POVRSINA,PROSTORI_DELA_STAVBE,POGODBENA_CENA_DELA_STAVBE,STOPNJA_DDV_DELA_STAVBE,E_CENTROID,N_CENTROID,LETO_y,RPE_OBCINE_SIFRA_y
899169,1,15.03.2025,30.01.2025,228000,0,,,,,,15.04.2025,15.03.2025,1,1,2025,23,1959,DOMŽALE,DOMŽALE,5573,20,,,1,DOMŽALE,LJUBLJANSKA CESTA,72,,20,2,1982,1,,,63.6,1/1,,,,,0,,,2 - stanovanje,nadstropje,,63.6,45.9," bivalni prostor | klet | odprta terasa, balkon, loža",,,468593.82,111194.35,2025,23
957610,1,15.07.2025,16.06.2025,436100,0,,,,,,28.07.2025,15.07.2025,1,5,2025,23,1959,DOMŽALE,DOMŽALE,3506,1,,,1,DOMŽALE,AŠKERČEVA ULICA,20,,,1,1974,1,,,233.9,1/1,,,,,0,,,1 - stanovanje v enostanovanjski stavbi,pritličje,,233.9,149.2," bivalni prostor | garaža | klet | odprta terasa, balkon, loža",,,468846.95,110165.81,2025,23
967725,1,15.10.2025,18.09.2025,260000,0,,,,,,22.10.2025,15.10.2025,1,5,2025,23,1959,DOMŽALE,DOMŽALE,4571,1,,,1,DOMŽALE,MIKLOŠIČEVA ULICA,4,c,1,2,1979,1,,,76.1,1/1,,,,,0,,,2 - stanovanje,klet,,76.1,69," bivalni prostor | klet | odprta terasa, balkon, loža",,,469199.84,111245.32,2025,23
974099,1,15.12.2025,17.11.2025,318000,0,,,,,,22.12.2025,15.12.2025,1,5,2025,23,1937,HOMEC,DOMŽALE,1477,16,,,1,,,,,,3,2019,1,,,12.3,1/1,,,,,0,,,16 - garažno parkirno mesto,,,12.3,12.3, garažni parkirni prostor,,,469350,114155,2025,23
974099,1,15.12.2025,17.11.2025,318000,0,,,,,,22.12.2025,15.12.2025,1,5,2025,23,1937,HOMEC,DOMŽALE,1476,19,,,1,PRESERJE PRI RADOMLJAH,V BORŠT,11,,19,2,2019,1,,,50.9,1/1,,,,,0,,,2 - stanovanje,nadstropje,,50.9,40.2," bivalni prostor | klet | zaprta terasa, balkon, loža",,,469333,114170,2025,23
901902,1,15.04.2025,09.12.2024,197000,0,,,,,,22.04.2025,15.04.2025,1,5,2025,23,1959,DOMŽALE,DOMŽALE,5406,36,,,1,DOMŽALE,ŽUPANČIČEVA ULICA,11,,36,2,1968,1,,,84.9,1/1,,,,,0,,,2 - stanovanje,klet,,84.9,81.9, bivalni prostor | klet,,,468745.65,111347.46,2025,23
973836,1,15.12.2025,13.11.2025,145000,0,,,,,,22.12.2025,15.12.2025,1,5,2025,23,1959,DOMŽALE,DOMŽALE,1061,1,,,1,VIR,STRITARJEVA ULICA,32,,,1,1990,1,,,198.6,23/50,,,,,0,,,1 - stanovanje v enostanovanjski stavbi,nadstropje,,198.6,158.3," bivalni prostor | klet | odprta terasa, balkon, loža | shramba, sušilnica, pralnica",,,469182.2,113170.1,2025,23
973836,1,15.12.2025,13.11.2025,145000,0,,,,,,22.12.2025,15.12.2025,1,5,2025,23,1959,DOMŽALE,DOMŽALE,1061,2,,,1,VIR,STRITARJEVA ULICA,32,,,14,1990,1,,,71.7,23/50,,,,,0,,,33 - klet,pritličje,,71.7,71.7, klet,,,469182.2,113170.1,2025,23
892546,1,05.02.2025,12.11.2024,197100,0,,,,,,15.04.2025,05.02.2025,1,2,2025,23,1957,TROJICA,DOMŽALE,112,1,,,1,KOKOŠNJE,,15,,,1,1987,1,,,87.7,1/1,,,,,0,,,1 - stanovanje v enostanovanjski stavbi,pritličje,,87.7,60.3," bivalni prostor | odprta terasa, balkon, loža",,,475593.72,110623.18,2025,23
905693,1,15.05.2025,25.03.2025,39676.9,0,,,,,,22.05.2025,15.05.2025,1,5,2025,23,1959,DOMŽALE,DOMŽALE,5554,30,,,1,DOMŽALE,SLAMNIKARSKA CESTA,1,d,30,6,2003,1,,,41.5,1/1,,,,,0,,,9 - poslovni del stavbe,pritličje,,41.5,41.5, poslovni prostor,,,468960.39,110972.86,2025,23
909981,1,16.06.2025,21.05.2025,210000,0,,,,,,23.06.2025,16.06.2025,1,5,2025,23,1959,DOMŽALE,DOMŽALE,3373,3,,,1,DOMŽALE,VODNIKOVA ULICA,3,a,3,7,2006,1,,,252.4,1/1,,,,,0,,,25 - del stavbe za zdravstveno oskrbo,klet,,252.4,202.3, poslovni prostor | tehnični prostor,,,468767.96,110884.73,2025,23
898707,1,15.03.2025,23.01.2025,180000,0,,,,,,15.04.2025,15.03.2025,1,5,2025,23,1937,HOMEC,DOMŽALE,935,1,,,1,NOŽICE,GOSTIČEVA CESTA,65,,,1,1937,1,,,80,1/1,,,,,0,,,1 - stanovanje v enostanovanjski stavbi,pritličje,,80,68, bivalni prostor | klet,,,468953.17,116444.22,2025,23
