ID_POSLA,VRSTA_KUPOPRODAJNEGA_POSLA,DATUM_UVELJAVITVE,DATUM_SKLENITVE_POGODBE,POGODBENA_CENA_ODSKODNINA,VKLJUCENOST_DDV,STOPNJA_DDV,DATUM_IZTEKA_LIZINGA,DATUM_PRENEHANJA_LIZINGA,OPOMBE_O_PRAVNEM_POSLU,POSREDOVANJE_NEPREMICNINSKE_AGENCIJE,DATUM_ZADNJE_SPREMEMBE_POSLA,DATUM_ZADNJE_UVELJAVITVE_POSLA,VRSTA_AKTA,TRZNOST_POSLA,LETO_x,RPE_OBCINE_SIFRA_x,SIFRA_KO,IME_KO,OBCINA,STEVILKA_STAVBE,STEVILKA_DELA_STAVBE,PARCELNA_STEVILKA_ZA_GEOLOKACIJO,INTERNA_OZNAKA_DELA_STAVBE,EVIDENTIRANOST_DELA_STAVBE,NASELJE,ULICA,HISNA_STEVILKA,DODATEK_HS,STEVILKA_STANOVANJA_ALI_POSLOVNEGA_PROSTORA,VRSTA_DELA_STAVBE,LETO_IZGRADNJE_DELA_STAVBE,STAVBA_JE_DOKONCANA,GRADBENA_FAZA,NOVOGRADNJA,PRODANA_POVRSINA,PRODANI_DELEZ_DELA_STAVBE,PRODANA_POVRSINA_DELA_STAVBE,PRODANA_UPORABNA_POVRSINA_DELA_STAVBE,NADSTROPJE_DELA_STAVBE,STEVILO_ZUNANJIH_PARKIRNIH_MEST,ATRIJ,POVRSINA_ATRIJA,OPOMBE_O_NEPREMICNINI,DEJANSKA_RABA_DELA_STAVBE,LEGA_DELA_STAVBE_V_STAVBI,STEVILO_SOB,POVRSINA_DELA_STAVBE,UPORABNA_POVRSINA,PROSTORI_DELA_STAVBE,POGODBENA_CENA_DELA_STAVBE,STOPNJA_DDV_DELA_STAVBE,E_CENTROID,N_CENTROID,LETO_y,RPE_OBCINE_SIFRA_y
520549,1,11.12.2020,05.11.2020,9315274.24,0,,,,,,15.04.2025,11.12.2020,1,3,2020,43,1959,DOMŽALE,DOMŽALE,885,1,,,1,ZGORNJE JARŠE,INDUSTRIJSKA CESTA,16,,,8,1995,1,,,8254,1/1,,,,,,,,10 - Trgovski del stavbe,pritličje,,8253.6,5594.5," lokal, prodajalna",,,469061.3,113570.03,2020,43
520549,1,11.12.2020,05.11.2020,9315274.24,0,,,,,,15.04.2025,11.12.2020,1,3,2020,43,1908,PODGORJE,KAMNIK,49,1,,,1,KAMNIK,LJUBLJANSKA CESTA,14,,,8,2001,1,,,900,1/1,,,,,,,,10 - Trgovski del stavbe,pritličje,,900.1,666.4," lokal, prodajalna",,,469001.74,118865.29,2020,43
520549,1,11.12.2020,05.11.2020,9315274.24,0,,,,,,15.04.2025,11.12.2020,1,3,2020,43,1959,DOMŽALE,DOMŽALE,1018,1,,,1,VIR,TOLSTOJEVA ULICA,1,A,,8,1995,1,,,457,1/1,,,,,,,,10 - Trgovski del stavbe,pritličje,,456.5,338.5," lokal, prodajalna",,,469474.6,113305.96,2020,43
520549,1,11.12.2020,05.11.2020,9315274.24,0,,,,,,15.04.2025,11.12.2020,1,3,2020,43,1730,MOSTE,LJUBLJANA,137,1,,,1,LJUBLJANA,LESKOŠKOVA CESTA,8,,,8,1995,1,,,4758,1/1,,,,,,,,10 - Trgovski del stavbe,pritličje,,4757.6,4273.2," lokal, prodajalna",,,465679.69,103046.28,2020,43
520549,1,11.12.2020,05.11.2020,9315274.24,0,,,,,,15.04.2025,11.12.2020,1,3,2020,43,1893,STRANJE,KAMNIK,330,1,,,1,ZGORNJE STRANJE,ZGORNJE STRANJE,21,A,,8,1995,1,,,499,1/1,,,,,,,,10 - Trgovski del stavbe,pritličje,,499.4,419.4," lokal, prodajalna",,,469425.14,124194.79,2020,43
486258,1,10.03.2020,13.01.2020,120000,0,,,,,,15.04.2025,10.03.2020,1,1,2020,43,1897,NEVLJE,KAMNIK,24,1,,,1,NEVLJE,NEVLJE,16,D,,1,1975,1,,,163,1/1,,,,,,,,1110001 - Stanovanje v samostoječi stavbi z enim stanovanjem,pritličje,3,163.1,90.1," bivalni prostor | garaža | klet | odprta terasa, balkon, loža | shramba, sušilnica, pralnica",,,471161.97,121197.19,2020,43
507042,1,10.09.2020,01.08.2020,98000,0,,,,,,15.04.2025,10.09.2020,1,2,2020,43,1911,KAMNIK,KAMNIK,580,2,,,1,KAMNIK,TUNJIŠKA CESTA,2,B,2,2,1972,1,,,60,1/1,,,,,,,,2 - Stanovanje,pritličje,,59.6,49," bivalni prostor | klet | odprta terasa, balkon, loža",,,469906.1,121183.88,2020,43
519254,1,10.12.2020,02.11.2020,85000,0,,,,,,15.04.2025,10.12.2020,1,2,2020,43,1908,PODGORJE,KAMNIK,247,23,,,1,KAMNIK,KLAVČIČEVA ULICA,5,,23,2,1974,1,,,43,1/1,,,,,,,,2 - Stanovanje,nadstropje,,43.3,38.5," bivalni prostor | klet | odprta terasa, balkon, loža",,,468979.19,119177.38,2020,43
476928,1,10.01.2020,26.11.2019,150000,0,,,,,,15.04.2025,10.01.2020,1,1,2020,43,1911,KAMNIK,KAMNIK,1699,29,,,1,KAMNIK,LIVARSKA ULICA,5,,29,2,1988,1,,,70,1/1,,,,,,,,1122100 - Stanovanje v večstanovanjski stavbi ali stanovanjsko poslovni stavbi,nadstropje,2,70.3,63," bivalni prostor | klet | zaprta terasa, balkon, loža",,,469565.67,119522.08,2020,43
515443,1,11.11.2020,30.09.2020,205000,0,,,,,,15.04.2025,11.11.2020,1,2,2020,43,1909,ŠMARCA,KAMNIK,173,1,,,1,ŠMARCA,OREHOVA ULICA,1,,,1,1988,1,,,215,1/1,,,,,,,,1 - Stanovanje v enostanovanjski stavbi,pritličje,,215,114.5," bivalni prostor | garaža | klet | odprta terasa, balkon, loža",,,468688.89,116726.6,2020,43
