ID_POSLA,VRSTA_KUPOPRODAJNEGA_POSLA,DATUM_UVELJAVITVE,DATUM_SKLENITVE_POGODBE,POGODBENA_CENA_ODSKODNINA,VKLJUCENOST_DDV,STOPNJA_DDV,DATUM_IZTEKA_LIZINGA,DATUM_PRENEHANJA_LIZINGA,OPOMBE_O_PRAVNEM_POSLU,POSREDOVANJE_NEPREMICNINSKE_AGENCIJE,DATUM_ZADNJE_SPREMEMBE_POSLA,DATUM_ZADNJE_UVELJAVITVE_POSLA,VRSTA_AKTA,TRZNOST_POSLA,LETO_x,RPE_OBCINE_SIFRA_x,SIFRA_KO,IME_KO,OBCINA,STEVILKA_STAVBE,STEVILKA_DELA_STAVBE,PARCELNA_STEVILKA_ZA_GEOLOKACIJO,INTERNA_OZNAKA_DELA_STAVBE,EVIDENTIRANOST_DELA_STAVBE,NASELJE,ULICA,HISNA_STEVILKA,DODATEK_HS,STEVILKA_STANOVANJA_ALI_POSLOVNEGA_PROSTORA,VRSTA_DELA_STAVBE,LETO_IZGRADNJE_DELA_STAVBE,STAVBA_JE_DOKONCANA,GRADBENA_FAZA,NOVOGRADNJA,PRODANA_POVRSINA,PRODANI_DELEZ_DELA_STAVBE,PRODANA_POVRSINA_DELA_STAVBE,PRODANA_UPORABNA_POVRSINA_DELA_STAVBE,NADSTROPJE_DELA_STAVBE,STEVILO_ZUNANJIH_PARKIRNIH_MEST,ATRIJ,POVRSINA_ATRIJA,OPOMBE_O_NEPREMICNINI,DEJANSKA_RABA_DELA_STAVBE,LEGA_DELA_STAVBE_V_STAVBI,STEVILO_SOB,POVRSINA_DELA_STAVBE,UPORABNA_POVRSINA,PROSTORI_DELA_STAVBE,POGODBENA_CENA_DELA_STAVBE,STOPNJA_DDV_DELA_STAVBE,E_CENTROID,N_CENTROID,LETO_y,RPE_OBCINE_SIFRA_y
212518,1,03.11.2016,14.07.2015,60000,0,,,,,1,15.04.2025,03.11.2016,1,4,2016,50,2606,SEMEDELA,KOPER,560,201,,,1,KOPER,VATOVČEVA ULICA,5,,201,2,1971,1,,0,29.2,1/1,,,2,,,,,1122100 - Stanovanje v večstanovanjski stavbi ali stanovanjsko poslovni stavbi,klet,1,29.2,27.2," Klet, shramba",,,400474.82,44990.85,2016,50
272519,1,14.07.2016,30.05.2016,89000,0,,,,,0,15.04.2025,14.07.2016,1,1,2016,50,2606,SEMEDELA,KOPER,1099,1,,,1,KOPER,OLJČNA POT,9,G,,1,1970,1,,,78,1/1,,,,,,,,"1110003 - Stanovanje, ki se nahaja v vmesni vrstni hiši",pritličje,3,78.2,64.6, Drvarnica | Odprta terasa,,,400590.72,44487.52,2016,50
272610,1,14.07.2016,31.05.2016,48000,0,,,,,0,15.04.2025,14.07.2016,1,3,2016,50,2605,KOPER,KOPER,165,11,,,1,KOPER,GARIBALDIJEVA ULICA,2,,4,2,1900,1,,,60,1/2,,,3,,,,,1122100 - Stanovanje v večstanovanjski stavbi ali stanovanjsko poslovni stavbi,nadstropje,2,60.4,56.1, Odprta terasa,,,400755.99,46160.52,2016,50
273897,1,14.07.2016,24.05.2016,116000,0,,,,,1,15.04.2025,14.07.2016,1,1,2016,50,2606,SEMEDELA,KOPER,3962,5,,,1,KOPER,CESTA NA MARKOVEC,18,,5,2,1973,1,,,71,1/1,,,2,,,,,1122100 - Stanovanje v večstanovanjski stavbi ali stanovanjsko poslovni stavbi,pritličje,3,71.5,0,-,,,399369.66,45255.88,2016,50
289813,1,17.10.2016,16.09.2016,205800,0,,,,,0,15.04.2025,17.10.2016,1,2,2016,50,2610,VANGANEL,KOPER,655,1,,,1,VANGANEL,VANGANEL,55,J,,1,2010,0,5,,181,1/1,,,,3,,,,"1110002 - Stanovanje, ki se nahaja v krajni vrstni hiši",pritličje,4,181,117.8," Garderoba | Klet, shramba | Kurilnica | Odprt balkon | Odprta terasa | Podstrešje | Stopnišče | Zaprt balkon",,,403401.47,41860.89,2016,50
289991,2,17.10.2016,05.09.2016,61926,0,,,,,0,15.04.2025,17.10.2016,1,2,2016,50,2608,ŠMARJE,KOPER,396,1,,,1,ŠMARJE,ŠMARJE,159,,,1,1949,1,,,66,1/1,,,,,,,,1110001 - Stanovanje v samostoječi stavbi z enim stanovanjem,pritličje,1,66,30," Klet, shramba | Podstrešje",,,400745.86,40867.08,2016,50
290038,1,17.10.2016,13.09.2016,65000,0,,,,,0,15.04.2025,17.10.2016,1,3,2016,50,2606,SEMEDELA,KOPER,5334,17,,,1,KOPER,BERNETIČEVA ULICA,4,,15,2,1985,1,,,86,1/2,,,3,,,,,1122100 - Stanovanje v večstanovanjski stavbi ali stanovanjsko poslovni stavbi,nadstropje,4,86.1,86.1," Klet, shramba | Zaprt balkon",,,398949.88,45424.08,2016,50
290058,1,17.10.2016,08.09.2016,83500,0,,,,,0,15.04.2025,17.10.2016,1,2,2016,50,2614,KUBED,KOPER,527,1,,,1,GRAČIŠČE,GRAČIŠČE,2,H,,1,2012,1,,,106,1/1,,,,1,,,,"1110002 - Stanovanje, ki se nahaja v krajni vrstni hiši",pritličje,4,105.9,86.6, Drugo | Odprt balkon,,,411872.42,40617.53,2016,50
289193,1,17.10.2016,21.09.2016,80000,0,,,,,0,15.04.2025,17.10.2016,1,1,2016,50,2605,KOPER,KOPER,1450,34,,,1,KOPER,ANKARANSKA CESTA,7,,34,5,1995,1,,,63,1/1,,,1,,,,,1220301 - Poslovni prostori,nadstropje,,62.9,62.9,-,,,401653.08,45870.36,2016,50
289186,1,17.10.2016,23.09.2016,205000,0,,,,,0,15.04.2025,17.10.2016,1,2,2016,50,2604,BERTOKI,KOPER,4885,1,,,1,,,,,,14,1996,1,,,11,1/1,,,,,,,,1274012 - Kurilnica,pritličje,,11.3,11.3,-,,,406441.6,45505.31,2016,50
