ID_POSLA,VRSTA_KUPOPRODAJNEGA_POSLA,DATUM_UVELJAVITVE,DATUM_SKLENITVE_POGODBE,POGODBENA_CENA_ODSKODNINA,VKLJUCENOST_DDV,STOPNJA_DDV,DATUM_IZTEKA_LIZINGA,DATUM_PRENEHANJA_LIZINGA,OPOMBE_O_PRAVNEM_POSLU,POSREDOVANJE_NEPREMICNINSKE_AGENCIJE,DATUM_ZADNJE_SPREMEMBE_POSLA,DATUM_ZADNJE_UVELJAVITVE_POSLA,VRSTA_AKTA,TRZNOST_POSLA,LETO_x,RPE_OBCINE_SIFRA_x,SIFRA_KO,IME_KO,OBCINA,STEVILKA_STAVBE,STEVILKA_DELA_STAVBE,PARCELNA_STEVILKA_ZA_GEOLOKACIJO,INTERNA_OZNAKA_DELA_STAVBE,EVIDENTIRANOST_DELA_STAVBE,NASELJE,ULICA,HISNA_STEVILKA,DODATEK_HS,STEVILKA_STANOVANJA_ALI_POSLOVNEGA_PROSTORA,VRSTA_DELA_STAVBE,LETO_IZGRADNJE_DELA_STAVBE,STAVBA_JE_DOKONCANA,GRADBENA_FAZA,NOVOGRADNJA,PRODANA_POVRSINA,PRODANI_DELEZ_DELA_STAVBE,PRODANA_POVRSINA_DELA_STAVBE,PRODANA_UPORABNA_POVRSINA_DELA_STAVBE,NADSTROPJE_DELA_STAVBE,STEVILO_ZUNANJIH_PARKIRNIH_MEST,ATRIJ,POVRSINA_ATRIJA,OPOMBE_O_NEPREMICNINI,DEJANSKA_RABA_DELA_STAVBE,LEGA_DELA_STAVBE_V_STAVBI,STEVILO_SOB,POVRSINA_DELA_STAVBE,UPORABNA_POVRSINA,PROSTORI_DELA_STAVBE,POGODBENA_CENA_DELA_STAVBE,STOPNJA_DDV_DELA_STAVBE,E_CENTROID,N_CENTROID,LETO_y,RPE_OBCINE_SIFRA_y
961975,1,08.09.2025,27.09.2023,273500,1,5,,,"Stanovanje DDV 9,5%, parkirni mesti DDV 22%",,15.09.2025,08.09.2025,1,5,2025,61,1734,JEŽICA,LJUBLJANA,1710,208,,,1,,,,,,3,2023,1,,1,12.5,1/1,,,,,0,,,16 - garažno parkirno mesto,klet,,12.5,12.5, garažni parkirni prostor,11590,4,462343.08,105821.79,2025,61
961975,1,08.09.2025,27.09.2023,273500,1,5,,,"Stanovanje DDV 9,5%, parkirni mesti DDV 22%",,15.09.2025,08.09.2025,1,5,2025,61,1734,JEŽICA,LJUBLJANA,1710,209,,,1,,,,,,3,2023,1,,1,12.5,1/1,,,,,0,,,16 - garažno parkirno mesto,klet,,12.5,12.5, garažni parkirni prostor,11590,4,462343.08,105821.79,2025,61
961975,1,08.09.2025,27.09.2023,273500,1,5,,,"Stanovanje DDV 9,5%, parkirni mesti DDV 22%",,15.09.2025,08.09.2025,1,5,2025,61,1734,JEŽICA,LJUBLJANA,1710,113,,,1,LJUBLJANA,DUNAJSKA CESTA,221,,113,2,2023,1,,1,68,1/1,,,,,0,,,2 - stanovanje,nadstropje,,68,57.2," bivalni prostor | odprta terasa, balkon, loža | shramba, sušilnica, pralnica",250320,3,462343.08,105821.79,2025,61
906694,1,16.05.2025,18.04.2025,360000,0,,,,,,23.05.2025,16.05.2025,1,5,2025,61,1738,DRAVLJE,LJUBLJANA,13,117,,,1,LJUBLJANA,BRILEJEVA ULICA,16,,117,2,1982,1,,,78.6,1/1,,,,,0,,,2 - stanovanje,nadstropje,,78.6,70.4," bivalni prostor | klet | zaprta terasa, balkon, loža",,,459094.93,105136.53,2025,61
965950,1,15.10.2025,26.08.2025,300000,0,,,,,,22.10.2025,15.10.2025,1,5,2025,61,1696,RUDNIK,LJUBLJANA,540,1,,,1,LJUBLJANA,SPODNJI RUDNIK I,24,,,1,1972,1,,,256.7,1/1,,,,,0,,,1 - stanovanje v enostanovanjski stavbi,nadstropje,,256.7,80.7," bivalni prostor | garaža | klet | odprta terasa, balkon, loža | shramba, sušilnica, pralnica | zaprta terasa, balkon, loža",,,464567.17,98643.04,2025,61
974234,1,15.12.2025,18.11.2025,315000,0,,,,,,22.12.2025,15.12.2025,1,5,2025,61,1756,ČRNUČE,LJUBLJANA,1990,16,,,1,LJUBLJANA,MLINSKA POT,6,,107,2,1982,1,,,76.8,1/1,,,,,0,,,2 - stanovanje,nadstropje,,76.8,60.8," bivalni prostor | klet | odprta terasa, balkon, loža",,,463719.92,107487.78,2025,61
974234,1,15.12.2025,18.11.2025,315000,0,,,,,,22.12.2025,15.12.2025,1,5,2025,61,1756,ČRNUČE,LJUBLJANA,1979,47,,,1,,,,,,4,1983,1,,,15,1/1,,,,,0,,,15 - garaža,nadstropje,,15,15, garaža,,,463661.44,107519.74,2025,61
907359,1,30.05.2025,16.06.2023,348596.54,1,3,,,,,06.06.2025,30.05.2025,1,5,2025,61,2636,BEŽIGRAD,LJUBLJANA,8444,63,,,1,LJUBLJANA,PODMILŠČAKOVA ULICA,12,,63,2,2025,1,,1,104,1/1,,,,,0,,,2 - stanovanje,nadstropje,,104,68.4," bivalni prostor | garažni parkirni prostor | odprta terasa, balkon, loža | shramba, sušilnica, pralnica",,,461631.74,103259.54,2025,61
966811,1,15.10.2025,22.08.2025,1725000,0,,,,,,22.10.2025,15.10.2025,1,5,2025,61,1772,SLAPE,LJUBLJANA,963,1,,,1,,,,,,14,1900,1,,,10.8,1/1,,,,,0,,,33 - klet,pritličje,,10.8,10.8, klet,,,467845.72,101998.33,2025,61
966811,1,15.10.2025,22.08.2025,1725000,0,,,,,,22.10.2025,15.10.2025,1,5,2025,61,1772,SLAPE,LJUBLJANA,1076,1,,,1,,,,,,14,1980,1,,,12.6,1/2,,,,,0,,,33 - klet,pritličje,,12.6,12.6, klet,,,467848.9,101937.23,2025,61
