ID_POSLA,VRSTA_KUPOPRODAJNEGA_POSLA,DATUM_UVELJAVITVE,DATUM_SKLENITVE_POGODBE,POGODBENA_CENA_ODSKODNINA,VKLJUCENOST_DDV,STOPNJA_DDV,DATUM_IZTEKA_LIZINGA,DATUM_PRENEHANJA_LIZINGA,OPOMBE_O_PRAVNEM_POSLU,POSREDOVANJE_NEPREMICNINSKE_AGENCIJE,DATUM_ZADNJE_SPREMEMBE_POSLA,DATUM_ZADNJE_UVELJAVITVE_POSLA,VRSTA_AKTA,TRZNOST_POSLA,LETO_x,RPE_OBCINE_SIFRA_x,SIFRA_KO,IME_KO,OBCINA,STEVILKA_STAVBE,STEVILKA_DELA_STAVBE,PARCELNA_STEVILKA_ZA_GEOLOKACIJO,INTERNA_OZNAKA_DELA_STAVBE,EVIDENTIRANOST_DELA_STAVBE,NASELJE,ULICA,HISNA_STEVILKA,DODATEK_HS,STEVILKA_STANOVANJA_ALI_POSLOVNEGA_PROSTORA,VRSTA_DELA_STAVBE,LETO_IZGRADNJE_DELA_STAVBE,STAVBA_JE_DOKONCANA,GRADBENA_FAZA,NOVOGRADNJA,PRODANA_POVRSINA,PRODANI_DELEZ_DELA_STAVBE,PRODANA_POVRSINA_DELA_STAVBE,PRODANA_UPORABNA_POVRSINA_DELA_STAVBE,NADSTROPJE_DELA_STAVBE,STEVILO_ZUNANJIH_PARKIRNIH_MEST,ATRIJ,POVRSINA_ATRIJA,OPOMBE_O_NEPREMICNINI,DEJANSKA_RABA_DELA_STAVBE,LEGA_DELA_STAVBE_V_STAVBI,STEVILO_SOB,POVRSINA_DELA_STAVBE,UPORABNA_POVRSINA,PROSTORI_DELA_STAVBE,POGODBENA_CENA_DELA_STAVBE,STOPNJA_DDV_DELA_STAVBE,E_CENTROID,N_CENTROID,LETO_y,RPE_OBCINE_SIFRA_y
214614,1,18.01.2017,10.05.2015,41000,0,,,,,1,15.04.2025,18.01.2017,1,1,2017,70,681,POBREŽJE,MARIBOR,365,17,,,1,MARIBOR,GREENWIŠKA CESTA,8,,117,2,1969,1,,,58,1/1,,,3,,,,,1122100 - Stanovanje v večstanovanjski stavbi ali stanovanjsko poslovni stavbi,nadstropje,2,58.1,54.3, Odprta loža,,,550729.35,157354.82,2017,70
214614,1,18.01.2017,10.05.2015,41000,0,,,,,1,15.04.2025,18.01.2017,1,1,2017,70,681,POBREŽJE,MARIBOR,365,27,,,1,MARIBOR,GREENWIŠKA CESTA,8,,117,14,1969,1,,,5,1/1,,,2,,,,,1274003 - Klet,nadstropje,,4.8,3.9,-,,,550729.35,157354.82,2017,70
220289,1,13.02.2017,19.08.2015,87380,1,3,,,,0,15.04.2025,13.02.2017,1,1,2017,70,680,TEZNO,MARIBOR,5125,9,,,1,MARIBOR,PRVOMAJSKA ULICA,24,,9,2,2008,1,,1,75.51,1/1,,,2,,,,,1122100 - Stanovanje v večstanovanjski stavbi ali stanovanjsko poslovni stavbi,nadstropje,3,84.7,75.5," Klet, shramba | Zaprta loža",,,551227.2,155017.35,2017,70
220289,1,13.02.2017,19.08.2015,87380,1,3,,,,0,15.04.2025,13.02.2017,1,1,2017,70,680,TEZNO,MARIBOR,4,78,,,1,MARIBOR,PRVOMAJSKA ULICA,28,,78,3,2003,1,,1,15.75,1/1,,,,,,,,1242003 - Pokrito parkirišče,klet,,15.8,15.8,-,,,551248.62,154963.32,2017,70
229070,1,18.01.2017,15.07.2015,65500,0,,,,,1,15.04.2025,18.01.2017,1,1,2017,70,681,POBREŽJE,MARIBOR,5355,1,,,1,,,,,,13,1962,1,,,15,1/1,,,,,,,,1271401 - Drug kmetijski del stavbe,pritličje,,14.8,14.8,-,,,550658.23,156609.14,2017,70
229070,1,18.01.2017,15.07.2015,65500,0,,,,,1,15.04.2025,18.01.2017,1,1,2017,70,681,POBREŽJE,MARIBOR,2045,1,,,1,,,,,,13,1948,1,,,50,1/1,,,,,,,,1271401 - Drug kmetijski del stavbe,pritličje,,49.7,49.7,-,,,550659.95,156618.29,2017,70
229070,1,18.01.2017,15.07.2015,65500,0,,,,,1,15.04.2025,18.01.2017,1,1,2017,70,681,POBREŽJE,MARIBOR,2077,1,,,1,MARIBOR,OB GOZDU,27,,,1,1948,1,,,84,1/1,,,,,,,,1110001 - Stanovanje v samostoječi stavbi z enim stanovanjem,pritličje,2,84,56.9, Podstrešje | Stopnišče,,,550666.13,156602.79,2017,70
229267,1,18.01.2017,30.07.2015,80000,0,,,,,0,15.04.2025,18.01.2017,1,1,2017,70,681,POBREŽJE,MARIBOR,4070,1,,,1,MARIBOR,KONŠAKOVA ULICA,27,,,1,1977,1,,,180,1/1,,,,,,,,1110001 - Stanovanje v samostoječi stavbi z enim stanovanjem,pritličje,3,180.6,100.1," Drvarnica | Garaža | Klet, shramba | Odprt balkon | Podstrešje | Stopnišče",,,551448.03,156212.31,2017,70
229302,1,18.01.2017,31.07.2015,43000,0,,,,,1,15.04.2025,18.01.2017,1,1,2017,70,658,KOROŠKA VRATA,MARIBOR,1613,215,,,1,MARIBOR,SMETANOVA ULICA,84,,215,2,1965,1,,,59,1/1,,,4,,,,,1122100 - Stanovanje v večstanovanjski stavbi ali stanovanjsko poslovni stavbi,nadstropje,2,58.7,54.4," Klet, shramba | Odprt balkon | Stopnišče",,,548240.09,158240.09,2017,70
290307,1,18.01.2017,29.06.2016,30000,0,,,,,0,15.04.2025,18.01.2017,1,3,2017,70,676,PEKRE,MARIBOR,972,1,,,1,MARIBOR,LESJAKOVA ULICA,13,,,1,1939,1,,,37,5/8,,,,,,,,1110001 - Stanovanje v samostoječi stavbi z enim stanovanjem,pritličje,1,37.2,33,-,,,545584.54,155350.99,2017,70
