ID_POSLA,VRSTA_KUPOPRODAJNEGA_POSLA,DATUM_UVELJAVITVE,DATUM_SKLENITVE_POGODBE,POGODBENA_CENA_ODSKODNINA,VKLJUCENOST_DDV,STOPNJA_DDV,DATUM_IZTEKA_LIZINGA,DATUM_PRENEHANJA_LIZINGA,OPOMBE_O_PRAVNEM_POSLU,POSREDOVANJE_NEPREMICNINSKE_AGENCIJE,DATUM_ZADNJE_SPREMEMBE_POSLA,DATUM_ZADNJE_UVELJAVITVE_POSLA,VRSTA_AKTA,TRZNOST_POSLA,LETO_x,RPE_OBCINE_SIFRA_x,SIFRA_KO,IME_KO,OBCINA,STEVILKA_STAVBE,STEVILKA_DELA_STAVBE,PARCELNA_STEVILKA_ZA_GEOLOKACIJO,INTERNA_OZNAKA_DELA_STAVBE,EVIDENTIRANOST_DELA_STAVBE,NASELJE,ULICA,HISNA_STEVILKA,DODATEK_HS,STEVILKA_STANOVANJA_ALI_POSLOVNEGA_PROSTORA,VRSTA_DELA_STAVBE,LETO_IZGRADNJE_DELA_STAVBE,STAVBA_JE_DOKONCANA,GRADBENA_FAZA,NOVOGRADNJA,PRODANA_POVRSINA,PRODANI_DELEZ_DELA_STAVBE,PRODANA_POVRSINA_DELA_STAVBE,PRODANA_UPORABNA_POVRSINA_DELA_STAVBE,NADSTROPJE_DELA_STAVBE,STEVILO_ZUNANJIH_PARKIRNIH_MEST,ATRIJ,POVRSINA_ATRIJA,OPOMBE_O_NEPREMICNINI,DEJANSKA_RABA_DELA_STAVBE,LEGA_DELA_STAVBE_V_STAVBI,STEVILO_SOB,POVRSINA_DELA_STAVBE,UPORABNA_POVRSINA,PROSTORI_DELA_STAVBE,POGODBENA_CENA_DELA_STAVBE,STOPNJA_DDV_DELA_STAVBE,E_CENTROID,N_CENTROID,LETO_y,RPE_OBCINE_SIFRA_y
346162,1,16.10.2017,19.09.2017,15000,0,,,,,0,15.04.2025,16.10.2017,1,2,2017,84,2309,ŠMIHEL,NOVA GORICA,103,1,,,1,,,,,,13,1989,1,,,27,1/1,,,,,,,,1271401 - Drug kmetijski del stavbe,klet,,27,27,-,,,400832.21,90593.85,2017,84
340379,2,15.09.2017,10.07.2017,11322,0,,,,,0,15.04.2025,15.09.2017,1,3,2017,84,2304,NOVA GORICA,NOVA GORICA,3037,329,,,1,NOVA GORICA,DELPINOVA ULICA,18,B,,3,2011,1,,,10,1/1,,,,,,,,1242002 - garaža v garažni hiši,klet,,10,10,-,,,395062.07,91609.12,2017,84
340379,2,15.09.2017,10.07.2017,11322,0,,,,,0,15.04.2025,15.09.2017,1,3,2017,84,2304,NOVA GORICA,NOVA GORICA,3037,328,,,1,NOVA GORICA,DELPINOVA ULICA,18,B,,3,2011,1,,,10,1/1,,,,,,,,1242002 - garaža v garažni hiši,klet,,10,10,-,,,395062.07,91609.12,2017,84
340387,2,15.09.2017,10.07.2017,5861,0,,,,,0,15.04.2025,15.09.2017,1,3,2017,84,2304,NOVA GORICA,NOVA GORICA,3037,268,,,1,NOVA GORICA,DELPINOVA ULICA,18,B,,3,2011,1,,,10,1/1,,,,,,,,1242002 - garaža v garažni hiši,klet,,10,10,-,,,395062.07,91609.12,2017,84
340391,2,15.09.2017,10.07.2017,6061,0,,,,,0,15.04.2025,15.09.2017,1,3,2017,84,2304,NOVA GORICA,NOVA GORICA,3037,345,,,1,NOVA GORICA,DELPINOVA ULICA,18,B,,3,2011,1,,,10,1/1,,,,,,,,1242002 - garaža v garažni hiši,klet,,10,10,-,,,395062.07,91609.12,2017,84
356880,1,18.12.2017,24.10.2017,140000,0,,,,,1,15.04.2025,18.12.2017,1,2,2017,84,2296,LOKOVEC,NOVA GORICA,241,1,,,1,LOKOVEC,LOKOVEC,126,,,1,1994,1,,,124,1/1,,,,1,,,,1110001 - Stanovanje v samostoječi stavbi z enim stanovanjem,pritličje,5,127.6,77.4," Drvarnica | Garaža | Garderoba | Klet, shramba | Odprt balkon | Stopnišče | Sušilnica, pralnica",,,404795.63,102595.21,2017,84
356880,1,18.12.2017,24.10.2017,140000,0,,,,,1,15.04.2025,18.12.2017,1,2,2017,84,2296,LOKOVEC,NOVA GORICA,561,1,,,1,,,,,,13,1994,1,,,15,1/1,,,,,,,,1271401 - Drug kmetijski del stavbe,pritličje,,15.1,15.1,-,,,404816.24,102590.4,2017,84
305109,3,06.02.2017,23.01.2017,18959.12,1,4,,,,0,15.04.2025,06.02.2017,1,3,2017,84,2304,NOVA GORICA,NOVA GORICA,2741,130,,,1,NOVA GORICA,PRVOMAJSKA ULICA,23,,,3,2010,1,,1,12.5,1/1,,,,,,,,1242003 - Pokrito parkirišče,,,12.5,12.5,-,,,394469.81,91760.79,2017,84
305109,3,06.02.2017,23.01.2017,18959.12,1,4,,,,0,15.04.2025,06.02.2017,1,3,2017,84,2304,NOVA GORICA,NOVA GORICA,2741,131,,,1,NOVA GORICA,PRVOMAJSKA ULICA,23,,,3,2010,1,,1,12.1,1/1,,,,,,,,1242003 - Pokrito parkirišče,,,12.1,12.1,-,,,394469.81,91760.79,2017,84
345749,1,16.10.2017,30.08.2017,20000,0,,,,,1,15.04.2025,16.10.2017,1,2,2017,84,2336,BRANIK,NOVA GORICA,934,1,,,1,PRESERJE,PRESERJE,17,,,1,1920,1,,,84,1/1,,,,,,,,"1110000 - Stanovanje, neprimerno za bivanje, v stavbi z enim stanovanjem",pritličje,1,84,0,-,,,406020.55,81531.65,2017,84
