ID_POSLA,VRSTA_KUPOPRODAJNEGA_POSLA,DATUM_UVELJAVITVE,DATUM_SKLENITVE_POGODBE,POGODBENA_CENA_ODSKODNINA,VKLJUCENOST_DDV,STOPNJA_DDV,DATUM_IZTEKA_LIZINGA,DATUM_PRENEHANJA_LIZINGA,OPOMBE_O_PRAVNEM_POSLU,POSREDOVANJE_NEPREMICNINSKE_AGENCIJE,DATUM_ZADNJE_SPREMEMBE_POSLA,DATUM_ZADNJE_UVELJAVITVE_POSLA,VRSTA_AKTA,TRZNOST_POSLA,LETO_x,RPE_OBCINE_SIFRA_x,SIFRA_KO,IME_KO,OBCINA,STEVILKA_STAVBE,STEVILKA_DELA_STAVBE,PARCELNA_STEVILKA_ZA_GEOLOKACIJO,INTERNA_OZNAKA_DELA_STAVBE,EVIDENTIRANOST_DELA_STAVBE,NASELJE,ULICA,HISNA_STEVILKA,DODATEK_HS,STEVILKA_STANOVANJA_ALI_POSLOVNEGA_PROSTORA,VRSTA_DELA_STAVBE,LETO_IZGRADNJE_DELA_STAVBE,STAVBA_JE_DOKONCANA,GRADBENA_FAZA,NOVOGRADNJA,PRODANA_POVRSINA,PRODANI_DELEZ_DELA_STAVBE,PRODANA_POVRSINA_DELA_STAVBE,PRODANA_UPORABNA_POVRSINA_DELA_STAVBE,NADSTROPJE_DELA_STAVBE,STEVILO_ZUNANJIH_PARKIRNIH_MEST,ATRIJ,POVRSINA_ATRIJA,OPOMBE_O_NEPREMICNINI,DEJANSKA_RABA_DELA_STAVBE,LEGA_DELA_STAVBE_V_STAVBI,STEVILO_SOB,POVRSINA_DELA_STAVBE,UPORABNA_POVRSINA,PROSTORI_DELA_STAVBE,POGODBENA_CENA_DELA_STAVBE,STOPNJA_DDV_DELA_STAVBE,E_CENTROID,N_CENTROID,LETO_y,RPE_OBCINE_SIFRA_y
89694,3,18.05.2015,28.06.2013,266128.8,1,1,,,,0,24.08.2015,18.05.2015,1,4,2015,85,1493,VELIKI PODLJUBEN,NOVO MESTO,,,1112/13,,2,,,,,,1,2011,0,3,1,,1/1,116,116,,,,,,,,,,,-,,,,,2015,85
89713,3,18.05.2015,15.11.2013,125925,1,3,,,,0,24.08.2015,18.05.2015,1,4,2015,85,1493,VELIKI PODLJUBEN,NOVO MESTO,,,1112/12,,2,,,,,,1,2011,1,,1,,1/1,85,85,,,,,,,,,,,-,,,,,2015,85
184480,4,20.01.2015,15.12.2014,15000,0,,,,,0,23.07.2015,20.01.2015,1,4,2015,85,1485,GOTNA VAS,NOVO MESTO,893,1,,,1,,,,,,12,1982,1,,,42,1/2,,,,,,,,1271401 - Drug kmetijski del stavbe,pritličje,,42.4,42.4,-,,,512678.72,71971.67,2015,85
184480,4,20.01.2015,15.12.2014,15000,0,,,,,0,23.07.2015,20.01.2015,1,4,2015,85,1485,GOTNA VAS,NOVO MESTO,892,1,,,1,NOVO MESTO,K ROKU,54,,1,1,1990,1,,,70,1/1,,,,1,,,,1121001 - Stanovanje v samostoječi stavbi z dvema stanovanjema,mansarda,2,69.5,51.6," Klet, shramba | Odprt balkon",,,512683.86,71985.29,2015,85
184885,1,20.01.2015,01.12.2014,30000,0,,,,,1,23.07.2015,20.01.2015,1,4,2015,85,1456,NOVO MESTO,NOVO MESTO,385,6,,,1,NOVO MESTO,SEIDLOVA CESTA,20,,6,2,1983,1,,,28,1/1,,,1,,,,,1122100 - Stanovanje v večstanovanjski stavbi ali stanovanjsko poslovni stavbi,nadstropje,1,28.8,27.5," Klet, shramba",,,513290.85,74642.02,2015,85
214315,1,28.07.2015,30.05.2015,63000,0,,,,,0,15.04.2025,28.07.2015,1,1,2015,85,1483,KANDIJA,NOVO MESTO,794,159,,,1,NOVO MESTO,RAGOVSKA ULICA,10,A,43,2,1974,1,,,49,1/1,,,4,,,,,1122100 - Stanovanje v večstanovanjski stavbi ali stanovanjsko poslovni stavbi,nadstropje,2,48.9,42.5," Klet, shramba | Odprta loža",,,513637.86,73784.91,2015,85
184967,3,20.01.2015,25.04.2014,25652.6,0,,,,,0,02.06.2023,20.01.2015,1,4,2015,85,1456,NOVO MESTO,NOVO MESTO,808,3,,,1,,,,,3,8,1940,1,,,88,1/1,,,1,,,,,1230401 - Prostori za storitvene dejavnosti,pritličje,,88,88,-,,,513264.3,73860.3,2015,85
184970,1,20.01.2015,01.12.2014,75000,0,,,,,0,23.07.2015,20.01.2015,1,4,2015,85,1455,BRŠLJIN,NOVO MESTO,562,1,,,1,,,,,,6,1960,1,,,392,1/1,,,,,,,,1251001 - Industrijski del stavbe,pritličje,,392.1,392.1,-,,,511713.25,75625.73,2015,85
184971,1,20.01.2015,04.12.2014,20000,0,,,,,1,23.07.2015,20.01.2015,1,4,2015,85,1492,STRANSKA VAS,NOVO MESTO,84,1,,,1,STRANSKA VAS,STRANSKA VAS,115,,,13,1965,1,,,47,1/1,,,,,,,,"1271302 - Vinska klet, zidanica",pritličje,,46.6,39.9,-,,,512327.87,69663.67,2015,85
184981,1,20.01.2015,04.12.2014,70000,0,,,,,0,23.07.2015,20.01.2015,1,4,2015,85,1483,KANDIJA,NOVO MESTO,745,10,,,1,NOVO MESTO,JAKČEVA ULICA,14,,10,2,1963,1,,,64,1/1,,,2,,,,,1122100 - Stanovanje v večstanovanjski stavbi ali stanovanjsko poslovni stavbi,nadstropje,2,62.4,51.7," Klet, shramba | Odprt balkon",,,513514.55,73542.13,2015,85
