ID_POSLA,VRSTA_KUPOPRODAJNEGA_POSLA,DATUM_UVELJAVITVE,DATUM_SKLENITVE_POGODBE,POGODBENA_CENA_ODSKODNINA,VKLJUCENOST_DDV,STOPNJA_DDV,DATUM_IZTEKA_LIZINGA,DATUM_PRENEHANJA_LIZINGA,OPOMBE_O_PRAVNEM_POSLU,POSREDOVANJE_NEPREMICNINSKE_AGENCIJE,DATUM_ZADNJE_SPREMEMBE_POSLA,DATUM_ZADNJE_UVELJAVITVE_POSLA,VRSTA_AKTA,TRZNOST_POSLA,LETO_x,RPE_OBCINE_SIFRA_x,SIFRA_KO,IME_KO,OBCINA,STEVILKA_STAVBE,STEVILKA_DELA_STAVBE,PARCELNA_STEVILKA_ZA_GEOLOKACIJO,INTERNA_OZNAKA_DELA_STAVBE,EVIDENTIRANOST_DELA_STAVBE,NASELJE,ULICA,HISNA_STEVILKA,DODATEK_HS,STEVILKA_STANOVANJA_ALI_POSLOVNEGA_PROSTORA,VRSTA_DELA_STAVBE,LETO_IZGRADNJE_DELA_STAVBE,STAVBA_JE_DOKONCANA,GRADBENA_FAZA,NOVOGRADNJA,PRODANA_POVRSINA,PRODANI_DELEZ_DELA_STAVBE,PRODANA_POVRSINA_DELA_STAVBE,PRODANA_UPORABNA_POVRSINA_DELA_STAVBE,NADSTROPJE_DELA_STAVBE,STEVILO_ZUNANJIH_PARKIRNIH_MEST,ATRIJ,POVRSINA_ATRIJA,OPOMBE_O_NEPREMICNINI,DEJANSKA_RABA_DELA_STAVBE,LEGA_DELA_STAVBE_V_STAVBI,STEVILO_SOB,POVRSINA_DELA_STAVBE,UPORABNA_POVRSINA,PROSTORI_DELA_STAVBE,POGODBENA_CENA_DELA_STAVBE,STOPNJA_DDV_DELA_STAVBE,E_CENTROID,N_CENTROID,LETO_y,RPE_OBCINE_SIFRA_y
376143,1,18.04.2018,15.02.2018,5000,0,,,,,0,15.04.2025,18.04.2018,1,1,2018,133,964,VELENJE,VELENJE,3424,1,,,1,VELENJE,TRG MLADOSTI,6,,1,5,1959,1,,,5,1/1,,,2,,,,,1220301 - Poslovni prostori,pritličje,,4.5,4.5, poslovni prostor,,,508852.85,135720.63,2018,133
376160,1,18.04.2018,01.03.2018,72500,0,,,,,1,15.04.2025,18.04.2018,1,1,2018,133,964,VELENJE,VELENJE,1238,104,,,1,VELENJE,KIDRIČEVA CESTA,57,A,102,2,1974,1,,,70,1/1,,,1,,,,,1122100 - Stanovanje v večstanovanjski stavbi ali stanovanjsko poslovni stavbi,nadstropje,3,69.5,69.5, bivalni prostor,,,508286.59,136102.17,2018,133
370159,1,15.03.2018,30.01.2018,40000,0,,,,,1,15.04.2025,15.03.2018,1,2,2018,133,964,VELENJE,VELENJE,4370,25,,,1,VELENJE,KIDRIČEVA CESTA,55,A,25,9,1978,1,,,92,1/1,,,,,,,,1230401 - Prostori za storitvene dejavnosti,klet,,91.8,91.8,-,,,508235.08,136067.7,2018,133
370170,1,15.03.2018,01.02.2018,53900,0,,,,,0,15.04.2025,15.03.2018,1,1,2018,133,964,VELENJE,VELENJE,3483,47,,,1,VELENJE,KARDELJEV TRG,3,,47,2,1981,1,,,63,1/1,,,6,,,,,1122100 - Stanovanje v večstanovanjski stavbi ali stanovanjsko poslovni stavbi,nadstropje,2,62.6,54.8," Klet, shramba | Odprt balkon",,,509274.1,135697.39,2018,133
370179,1,15.03.2018,05.02.2018,120000,0,,,,,0,15.04.2025,15.03.2018,1,2,2018,133,967,KAVČE,VELENJE,268,1,,,1,KAVČE,KAVČE,60,,,1,1988,1,,,270,1/1,,,,1,,,,1110001 - Stanovanje v samostoječi stavbi z enim stanovanjem,klet,8,269.9,168.4," Drvarnica | Garaža | Klet, shramba | Kurilnica | Odprt balkon | Odprta terasa | Stopnišče | Sušilnica, pralnica",,,508111.22,134029.06,2018,133
370877,1,15.03.2018,03.01.2018,55000,0,,,,,0,15.04.2025,15.03.2018,1,2,2018,133,964,VELENJE,VELENJE,2295,7,,,1,VELENJE,ŠERCERJEVA CESTA,1,,7,2,1957,1,,,3030,1/1,,,2,,,,,1122100 - Stanovanje v večstanovanjski stavbi ali stanovanjsko poslovni stavbi,mansarda,1,30.3,20.3,-,,,508472.37,135991.66,2018,133
370877,1,15.03.2018,03.01.2018,55000,0,,,,,0,15.04.2025,15.03.2018,1,2,2018,133,964,VELENJE,VELENJE,2295,9,,,1,VELENJE,ŠERCERJEVA CESTA,1,,9,2,1957,1,,,43,1/1,,,2,,,,,1122100 - Stanovanje v večstanovanjski stavbi ali stanovanjsko poslovni stavbi,mansarda,1,43,33,-,,,508472.37,135991.66,2018,133
370908,1,15.03.2018,16.01.2018,63000,0,,,,,0,15.04.2025,15.03.2018,1,1,2018,133,964,VELENJE,VELENJE,3596,118,,,1,VELENJE,ŠALEŠKA CESTA,2,C,118,2,1973,1,,,84,1/1,,,5,,,,,1122100 - Stanovanje v večstanovanjski stavbi ali stanovanjsko poslovni stavbi,nadstropje,2,84.3,67.9," Klet, shramba | Odprt balkon",,,508700.23,135350.57,2018,133
387481,1,13.07.2018,06.06.2018,52000,0,,,,,0,15.04.2025,13.07.2018,1,1,2018,133,964,VELENJE,VELENJE,4373,25,,,1,VELENJE,JENKOVA CESTA,17,,25,2,1974,1,,,48,1/1,,,1,,,,,1122100 - Stanovanje v večstanovanjski stavbi ali stanovanjsko poslovni stavbi,nadstropje,2,47.9,43.7," bivalni prostor | klet | odprta terasa, balkon, loža",,,508476.18,135767.14,2018,133
376124,1,18.04.2018,03.02.2018,155000,0,,,,,1,15.04.2025,18.04.2018,1,1,2018,133,964,VELENJE,VELENJE,4717,11,,,1,VELENJE,KOROŠKA CESTA,14,A,11,2,2008,1,,,122,1/1,,,2,2,,,,1122100 - Stanovanje v večstanovanjski stavbi ali stanovanjsko poslovni stavbi,nadstropje,4,122.4,99.2," bivalni prostor | klet | odprta terasa, balkon, loža",,,508165.29,136117.7,2018,133
